image_path,is_symmetric,good_matches_count
./dataset/train/fake/fake_train_114.jpg,True,37
./dataset/train/fake/fake_train_1141.jpg,False,17
./dataset/train/fake/fake_train_1143.jpg,True,44
./dataset/train/fake/fake_train_1145.jpg,True,24
./dataset/train/fake/fake_train_1146.jpg,False,21
./dataset/train/fake/fake_train_1147.jpg,True,27
./dataset/train/fake/fake_train_1149.jpg,True,22
./dataset/train/fake/fake_train_115.jpg,False,12
./dataset/train/fake/fake_train_1150.jpg,False,15
./dataset/train/fake/fake_train_1151.jpg,False,14
./dataset/train/fake/fake_train_1152.jpg,True,22
./dataset/train/fake/fake_train_1153.jpg,False,16
./dataset/train/fake/fake_train_1154.jpg,True,23
./dataset/train/fake/fake_train_1155.jpg,False,9
./dataset/train/fake/fake_train_1156.jpg,True,33
./dataset/train/fake/fake_train_1158.jpg,True,32
./dataset/train/fake/fake_train_1159.jpg,True,39
./dataset/train/fake/fake_train_116.jpg,True,73
./dataset/train/fake/fake_train_1161.jpg,True,22
./dataset/train/fake/fake_train_1162.jpg,True,23
./dataset/train/fake/fake_train_1164.jpg,False,17
./dataset/train/fake/fake_train_1165.jpg,True,28
./dataset/train/fake/fake_train_1166.jpg,True,32
./dataset/train/fake/fake_train_1167.jpg,True,22
./dataset/train/fake/fake_train_1168.jpg,True,31
./dataset/train/fake/fake_train_1169.jpg,True,36
./dataset/train/fake/fake_train_1170.jpg,True,24
./dataset/train/fake/fake_train_1171.jpg,True,24
./dataset/train/fake/fake_train_1173.jpg,True,32
./dataset/train/fake/fake_train_1174.jpg,True,33
./dataset/train/fake/fake_train_1177.jpg,True,26
./dataset/train/fake/fake_train_1178.jpg,True,38
./dataset/train/fake/fake_train_1179.jpg,True,47
./dataset/train/fake/fake_train_118.jpg,False,20
./dataset/train/fake/fake_train_1180.jpg,False,18
./dataset/train/fake/fake_train_1182.jpg,True,26
./dataset/train/fake/fake_train_1183.jpg,True,27
./dataset/train/fake/fake_train_1185.jpg,True,29
./dataset/train/fake/fake_train_1188.jpg,False,19
./dataset/train/fake/fake_train_1189.jpg,True,23
./dataset/train/fake/fake_train_119.jpg,True,37
./dataset/train/fake/fake_train_1190.jpg,False,18
./dataset/train/fake/fake_train_1192.jpg,True,23
./dataset/train/fake/fake_train_1193.jpg,False,17
./dataset/train/fake/fake_train_1194.jpg,False,20
./dataset/train/fake/fake_train_1195.jpg,True,35
./dataset/train/fake/fake_train_1196.jpg,True,30
./dataset/train/fake/fake_train_1197.jpg,False,20
./dataset/train/fake/fake_train_1198.jpg,True,22
./dataset/train/fake/fake_train_1199.jpg,True,30
./dataset/train/fake/fake_train_12.jpg,False,21
./dataset/train/fake/fake_train_120.jpg,True,28
./dataset/train/fake/fake_train_1200.jpg,True,29
./dataset/train/fake/fake_train_1201.jpg,False,19
./dataset/train/fake/fake_train_1203.jpg,False,17
./dataset/train/fake/fake_train_1204.jpg,True,56
./dataset/train/fake/fake_train_1206.jpg,True,34
./dataset/train/fake/fake_train_1207.jpg,False,9
./dataset/train/fake/fake_train_1208.jpg,True,24
./dataset/train/fake/fake_train_1209.jpg,False,21
./dataset/train/fake/fake_train_121.jpg,False,19
./dataset/train/fake/fake_train_1210.jpg,True,27
./dataset/train/fake/fake_train_1211.jpg,False,18
./dataset/train/fake/fake_train_1212.jpg,True,22
./dataset/train/fake/fake_train_1213.jpg,True,25
./dataset/train/fake/fake_train_1214.jpg,True,30
./dataset/train/fake/fake_train_1215.jpg,False,18
./dataset/train/fake/fake_train_1216.jpg,False,17
./dataset/train/fake/fake_train_1217.jpg,False,6
./dataset/train/fake/fake_train_1218.jpg,True,32
./dataset/train/fake/fake_train_1219.jpg,False,19
./dataset/train/fake/fake_train_122.jpg,True,26
./dataset/train/fake/fake_train_1221.jpg,True,23
./dataset/train/fake/fake_train_1222.jpg,True,34
./dataset/train/fake/fake_train_1223.jpg,False,14
./dataset/train/fake/fake_train_1224.jpg,True,22
./dataset/train/fake/fake_train_1225.jpg,True,23
./dataset/train/fake/fake_train_1226.jpg,True,29
./dataset/train/fake/fake_train_1227.jpg,True,25
./dataset/train/fake/fake_train_1229.jpg,True,24
./dataset/train/fake/fake_train_123.jpg,True,52
./dataset/train/fake/fake_train_1230.jpg,False,9
./dataset/train/fake/fake_train_1231.jpg,True,31
./dataset/train/fake/fake_train_1232.jpg,True,22
./dataset/train/fake/fake_train_1233.jpg,True,26
./dataset/train/fake/fake_train_1234.jpg,False,16
./dataset/train/fake/fake_train_1235.jpg,True,49
./dataset/train/fake/fake_train_1236.jpg,False,18
./dataset/train/fake/fake_train_1237.jpg,False,16
./dataset/train/fake/fake_train_1238.jpg,False,19
./dataset/train/fake/fake_train_1239.jpg,True,44
./dataset/train/fake/fake_train_124.jpg,False,14
./dataset/train/fake/fake_train_1240.jpg,True,27
./dataset/train/fake/fake_train_1243.jpg,True,32
./dataset/train/fake/fake_train_1244.jpg,True,27
./dataset/train/fake/fake_train_1245.jpg,True,39
./dataset/train/fake/fake_train_1246.jpg,True,29
./dataset/train/fake/fake_train_1247.jpg,True,22
./dataset/train/fake/fake_train_1248.jpg,False,21
./dataset/train/fake/fake_train_1249.jpg,True,32
./dataset/train/fake/fake_train_125.jpg,True,28
./dataset/train/fake/fake_train_1250.jpg,False,20
./dataset/train/fake/fake_train_1251.jpg,False,12
./dataset/train/fake/fake_train_1252.jpg,True,23
./dataset/train/fake/fake_train_1253.jpg,True,45
./dataset/train/fake/fake_train_1254.jpg,True,31
./dataset/train/fake/fake_train_1255.jpg,False,19
./dataset/train/fake/fake_train_1257.jpg,False,14
./dataset/train/fake/fake_train_1258.jpg,True,22
./dataset/train/fake/fake_train_1259.jpg,True,23
./dataset/train/fake/fake_train_126.jpg,True,45
./dataset/train/fake/fake_train_1261.jpg,False,8
./dataset/train/fake/fake_train_1262.jpg,True,36
./dataset/train/fake/fake_train_1263.jpg,False,17
./dataset/train/fake/fake_train_1264.jpg,False,8
./dataset/train/fake/fake_train_1265.jpg,False,18
./dataset/train/fake/fake_train_1266.jpg,True,24
./dataset/train/fake/fake_train_1269.jpg,False,19
./dataset/train/fake/fake_train_1270.jpg,False,11
./dataset/train/fake/fake_train_1271.jpg,True,24
./dataset/train/fake/fake_train_1272.jpg,False,12
./dataset/train/fake/fake_train_1273.jpg,True,40
./dataset/train/fake/fake_train_1275.jpg,True,27
./dataset/train/fake/fake_train_1276.jpg,False,18
./dataset/train/fake/fake_train_1277.jpg,True,23
./dataset/train/fake/fake_train_1278.jpg,False,13
./dataset/train/fake/fake_train_1279.jpg,True,30
./dataset/train/fake/fake_train_1280.jpg,False,11
./dataset/train/fake/fake_train_1281.jpg,False,20
./dataset/train/fake/fake_train_1282.jpg,False,18
./dataset/train/fake/fake_train_1283.jpg,False,11
./dataset/train/fake/fake_train_1284.jpg,True,36
./dataset/train/fake/fake_train_1286.jpg,False,14
./dataset/train/fake/fake_train_1287.jpg,False,19
./dataset/train/fake/fake_train_1289.jpg,False,19
./dataset/train/fake/fake_train_129.jpg,True,34
./dataset/train/fake/fake_train_1290.jpg,False,16
./dataset/train/fake/fake_train_1291.jpg,False,20
./dataset/train/fake/fake_train_1292.jpg,True,36
./dataset/train/fake/fake_train_1293.jpg,True,25
./dataset/train/fake/fake_train_1294.jpg,False,14
./dataset/train/fake/fake_train_1295.jpg,True,23
./dataset/train/fake/fake_train_1296.jpg,False,12
./dataset/train/fake/fake_train_1298.jpg,False,20
./dataset/train/fake/fake_train_1299.jpg,False,11
./dataset/train/fake/fake_train_13.jpg,True,31
./dataset/train/fake/fake_train_130.jpg,False,21
./dataset/train/fake/fake_train_1300.jpg,True,23
./dataset/train/fake/fake_train_1301.jpg,False,15
./dataset/train/fake/fake_train_1302.jpg,True,22
./dataset/train/fake/fake_train_1304.jpg,True,22
./dataset/train/fake/fake_train_1305.jpg,True,28
./dataset/train/fake/fake_train_1308.jpg,True,28
./dataset/train/fake/fake_train_1309.jpg,False,15
./dataset/train/fake/fake_train_131.jpg,True,42
./dataset/train/fake/fake_train_1311.jpg,True,38
./dataset/train/fake/fake_train_1312.jpg,True,25
./dataset/train/fake/fake_train_1313.jpg,True,24
./dataset/train/fake/fake_train_1315.jpg,True,58
./dataset/train/fake/fake_train_1316.jpg,True,35
./dataset/train/fake/fake_train_1317.jpg,True,34
./dataset/train/fake/fake_train_1318.jpg,False,19
./dataset/train/fake/fake_train_1319.jpg,True,30
./dataset/train/fake/fake_train_132.jpg,True,37
./dataset/train/fake/fake_train_1320.jpg,True,23
./dataset/train/fake/fake_train_1321.jpg,False,20
./dataset/train/fake/fake_train_1322.jpg,False,14
./dataset/train/fake/fake_train_1323.jpg,False,14
./dataset/train/fake/fake_train_1325.jpg,True,22
./dataset/train/fake/fake_train_1326.jpg,False,13
./dataset/train/fake/fake_train_1327.jpg,True,25
./dataset/train/fake/fake_train_1328.jpg,True,23
./dataset/train/fake/fake_train_1329.jpg,True,34
./dataset/train/fake/fake_train_133.jpg,False,6
./dataset/train/fake/fake_train_1331.jpg,True,38
./dataset/train/fake/fake_train_1333.jpg,True,31
./dataset/train/fake/fake_train_1334.jpg,True,22
./dataset/train/fake/fake_train_1336.jpg,True,23
./dataset/train/fake/fake_train_1337.jpg,True,22
./dataset/train/fake/fake_train_1338.jpg,False,17
./dataset/train/fake/fake_train_134.jpg,True,31
./dataset/train/fake/fake_train_1340.jpg,True,25
./dataset/train/fake/fake_train_1343.jpg,True,32
./dataset/train/fake/fake_train_1344.jpg,False,18
./dataset/train/fake/fake_train_1346.jpg,True,55
./dataset/train/fake/fake_train_1347.jpg,True,24
./dataset/train/fake/fake_train_1348.jpg,True,24
./dataset/train/fake/fake_train_1349.jpg,False,21
./dataset/train/fake/fake_train_135.jpg,True,65
./dataset/train/fake/fake_train_1350.jpg,True,23
./dataset/train/fake/fake_train_1351.jpg,True,39
./dataset/train/fake/fake_train_1352.jpg,True,24
./dataset/train/fake/fake_train_1353.jpg,True,28
